candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,2.0,MNST,0.0
qqq_single_ma150_weekly_top1,2.0,CHKP,0.0
qqq_single_ma150_weekly_top1,2.0,CMCSA,0.0
qqq_single_ma150_weekly_top1,2.0,BKNG,0.0
qqq_single_ma150_weekly_top1,2.0,CCEP,0.0
qqq_single_ma150_weekly_top1,2.0,BKR,0.0
qqq_single_ma150_weekly_top1,2.0,CHTR,0.0
qqq_single_ma150_weekly_top1,2.0,CELG,0.0
qqq_single_ma150_weekly_top1,2.0,CDW,0.0
qqq_single_ma150_weekly_top1,2.0,CDNS,0.0
qqq_single_ma150_weekly_top1,2.0,CSGP,0.0
qqq_single_ma150_weekly_top1,2.0,GILD,0.0
qqq_single_ma150_weekly_top1,2.0,EXPE,0.0
qqq_single_ma150_weekly_top1,2.0,FANG,0.0
qqq_single_ma150_weekly_top1,2.0,FAST,0.0
qqq_single_ma150_weekly_top1,2.0,FI,0.0
qqq_single_ma150_weekly_top1,2.0,COST,0.0
qqq_single_ma150_weekly_top1,2.0,CPRT,0.0
qqq_single_ma150_weekly_top1,2.0,CSCO,0.0
qqq_single_ma150_weekly_top1,2.0,CTXS,0.0
qqq_single_ma150_weekly_top1,2.0,DASH,0.0
qqq_single_ma150_weekly_top1,2.0,DLTR,0.0
qqq_single_ma150_weekly_top1,2.0,DOCU,0.0
qqq_single_ma150_weekly_top1,2.0,EA,0.0
qqq_single_ma150_weekly_top1,2.0,CSX,0.0
qqq_single_ma150_weekly_top1,2.0,CTAS,0.0
qqq_single_ma150_weekly_top1,2.0,CTSH,0.0
qqq_single_ma150_weekly_top1,2.0,LBTYK,0.0
qqq_single_ma150_weekly_top1,2.0,LBTYA,0.0
qqq_single_ma150_weekly_top1,2.0,GOOG,0.0
qqq_single_ma150_weekly_top1,2.0,HON,0.0
qqq_single_ma150_weekly_top1,2.0,INCY,0.0
qqq_single_ma150_weekly_top1,2.0,HSIC,0.0
qqq_single_ma150_weekly_top1,2.0,IDXX,0.0
qqq_single_ma150_weekly_top1,2.0,ILMN,0.0
qqq_single_ma150_weekly_top1,2.0,ISRG,0.0
qqq_single_ma150_weekly_top1,2.0,JBHT,0.0
qqq_single_ma150_weekly_top1,2.0,JD,0.0
qqq_single_ma150_weekly_top1,2.0,KDP,0.0
qqq_single_ma150_weekly_top1,2.0,KHC,0.0
