campaign_id,variant_id,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,position_rows,quote_complete_position_rows,missing_position_rows,position_coverage_rate,symbols,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,top5_symbol_positive_share,leave_best_symbol_out_return,mean_entry_spread_bps,mean_exit_spread_bps,median_entry_delay_ms,median_exit_role_delay_ms,max_role_window_seconds,broker_margin,direct_short,holdout_rows_loaded
CAM-0615,qqq__fullcov_shrink50__mom60__long,5.0,-2.4700036222086643,2.487897208310663,11937,11925,12,0.9989947222920331,106,250,24,226,0,12,-0.20583363518405542,-0.17502320696472834,-0.20583363518405542,0.7065372257724503,-2.4796009039148434,94.62500920826498,94.68074561516976,28.810483,28.743076,30,False,False,0
CAM-0618,sector11__mom252__hold6__top1,0.0,-0.19611617856592545,0.3688015541113958,749,749,0,1.0,7,249,129,120,5,7,-0.016343014880493792,-0.012842768633646185,-0.016343014880493792,1.0,-0.20498287440131088,8.776617430635692,8.79431234984002,3.753086,3.7337640000000003,1,False,False,0
CAM-0618,sector11__mom252__hold6__top1,1.0,-0.24591617856592546,0.40333284808457764,749,749,0,1.0,7,249,126,123,5,7,-0.02049301488049379,-0.016742768633646186,-0.02049301488049379,1.0,-0.24979573116990392,8.776617430635692,8.79431234984002,3.753086,3.7337640000000003,1,False,False,0
CAM-0618,sector11__mom252__hold6__top1,2.0,-0.2957161785659256,0.44583676593195914,749,749,0,1.0,7,249,122,127,3,9,-0.024643014880493794,-0.020642768633646183,-0.024643014880493794,1.0,-0.297495731169904,8.776617430635692,8.79431234984002,3.753086,3.7337640000000003,1,False,False,0
CAM-0618,sector11__mom252__hold6__top1,5.0,-0.44511617856592556,0.5746378398014526,749,749,0,1.0,7,249,115,134,3,9,-0.037093014880493796,-0.03234276863364619,-0.037093014880493796,,-0.440595731169904,8.776617430635692,8.79431234984002,3.753086,3.7337640000000003,1,False,False,0
CAM-0619,sector11__mom126__sma200__top1,0.0,-0.30487807564522373,0.5023117624326024,249,249,0,1.0,5,249,138,109,7,5,-0.025406506303768644,0.011707967030922917,-0.025406506303768644,1.0,-0.4044713573122214,7.831715826013579,7.870523220387792,3.281763,3.281763,1,False,False,0
CAM-0619,sector11__mom126__sma200__top1,1.0,-0.3546780756452235,0.5240369326310217,249,249,0,1.0,5,249,136,113,7,5,-0.029556506303768642,0.007407967030922917,-0.029556506303768642,1.0,-0.4420713573122212,7.831715826013579,7.870523220387792,3.281763,3.281763,1,False,False,0
CAM-0619,sector11__mom126__sma200__top1,2.0,-0.40447807564522376,0.546701578046097,249,249,0,1.0,5,249,136,113,6,6,-0.033706506303768646,0.0031079670309229184,-0.033706506303768646,1.0,-0.47967135731222144,7.831715826013579,7.870523220387792,3.281763,3.281763,1,False,False,0
CAM-0619,sector11__mom126__sma200__top1,5.0,-0.553878075645224,0.6306155445489823,249,249,0,1.0,5,249,129,120,5,7,-0.04615650630376866,-0.009792032969077089,-0.04615650630376866,1.0,-0.5924713573122216,7.831715826013579,7.870523220387792,3.281763,3.281763,1,False,False,0
CAM-0620,sector11__mom126__sma200__fallback_GLD,0.0,-0.26415314625543285,0.494725912374951,249,249,0,1.0,6,249,136,111,7,5,-0.02201276218795274,0.014051384908086606,-0.02201276218795274,1.0,-0.4113684007785692,6.28019634041088,6.278827133321466,3.173723,3.0561849999999997,1,False,False,0
CAM-0620,sector11__mom126__sma200__fallback_GLD,1.0,-0.31395314625543264,0.5159580816205106,249,249,0,1.0,6,249,134,115,7,5,-0.026162762187952732,0.009651384908086612,-0.026162762187952732,1.0,-0.452968400778569,6.28019634041088,6.278827133321466,3.173723,3.0561849999999997,1,False,False,0
CAM-0620,sector11__mom126__sma200__fallback_GLD,2.0,-0.36375314625543287,0.5380939508825099,249,249,0,1.0,6,249,133,116,6,6,-0.03031276218795274,0.0052513849080866055,-0.03031276218795274,1.0,-0.49456840077856923,6.28019634041088,6.278827133321466,3.173723,3.0561849999999997,1,False,False,0
CAM-0620,sector11__mom126__sma200__fallback_GLD,5.0,-0.5131531462554331,0.6105400660807481,249,249,0,1.0,6,249,127,122,6,6,-0.04276276218795275,-0.007948615091913403,-0.04276276218795275,1.0,-0.6193684007785694,6.28019634041088,6.278827133321466,3.173723,3.0561849999999997,1,False,False,0
CAM-0621,etf__ibs_le20__trend0__long,0.0,-0.15549493110031443,0.19670955321452582,1358,1354,4,0.9970544918998527,27,240,114,125,5,7,-0.012957910925026203,-0.016876537329314628,-0.012957910925026203,0.8397664784107503,-0.2679491161518212,7.6842785768417805,2.5801632149748177,2.724131,0.911078,30,False,False,0
CAM-0621,etf__ibs_le20__trend0__long,1.0,-0.20334826443364773,0.23177859575423376,1358,1354,4,0.9970544918998527,27,240,113,127,4,8,-0.01694568870280398,-0.0211432039959813,-0.01694568870280398,0.8679983839749127,-0.3148477410045189,7.6842785768417805,2.5801632149748177,2.724131,0.911078,30,False,False,0
CAM-0621,etf__ibs_le20__trend0__long,2.0,-0.251201597766981,0.26787109366842504,1358,1354,4,0.9970544918998527,27,240,112,128,4,8,-0.020933466480581753,-0.025334453406589796,-0.020933466480581753,0.892873064712338,-0.3617463658572166,7.6842785768417805,2.5801632149748177,2.724131,0.911078,30,False,False,0
CAM-0621,etf__ibs_le20__trend0__long,5.0,-0.3947615977669813,0.40405322305276054,1358,1354,4,0.9970544918998527,27,240,104,136,2,10,-0.0328967998139151,-0.03751445340658981,-0.0328967998139151,0.971265675273617,-0.5024422404153102,7.6842785768417805,2.5801632149748177,2.724131,0.911078,30,False,False,0
CAM-0622,QQQ__target15__vol63__monthly__BIL,0.0,0.20459535160637377,0.09975564486598575,393,393,0,1.0,2,249,140,109,8,4,0.017049612633864477,0.006892837677629127,0.017049612633864477,1.0,-0.004403823849546407,0.7654054403524635,0.7638650836055371,1.170079,1.170079,1,False,False,0
CAM-0622,QQQ__target15__vol63__monthly__BIL,1.0,0.15479535160637375,0.11989569843683613,393,393,0,1.0,2,249,137,112,8,4,0.012899612633864481,0.002492837677629126,0.012899612633864481,1.0,-0.014164681241068011,0.7654054403524635,0.7638650836055371,1.170079,1.170079,1,False,False,0
CAM-0622,QQQ__target15__vol63__monthly__BIL,2.0,0.10499535160637374,0.14091914653390758,393,393,0,1.0,2,249,134,115,5,7,0.008749612633864479,-0.0019071623223708746,0.008749612633864479,1.0,-0.023925538632589588,0.7654054403524635,0.7638650836055371,1.170079,1.170079,1,False,False,0
CAM-0622,QQQ__target15__vol63__monthly__BIL,5.0,-0.044404648393626366,0.2099120111640699,393,393,0,1.0,2,249,123,126,5,7,-0.0037003873661355276,-0.0145888226972997,-0.0037003873661355276,1.0,-0.053208110807154346,0.7654054403524635,0.7638650836055371,1.170079,1.170079,1,False,False,0
CAM-0623,qqq__chs_safe__q10__none,0.0,-0.32563296286641247,0.645426768868613,2250,2250,0,1.0,25,250,114,136,4,8,-0.0271360802388677,-0.05566419187267021,-0.0271360802388677,0.6938545776571533,-0.41004411781533795,50.78461794201724,50.72289638819607,21.1971505,21.1307345,5,False,False,0
CAM-0623,qqq__chs_safe__q10__none,1.0,-0.37563296286641246,0.6898462411591418,2250,2250,0,1.0,25,250,113,137,3,9,-0.03130274690553437,-0.05986419187267021,-0.03130274690553437,0.7099184648286571,-0.45733300670422683,50.78461794201724,50.72289638819607,21.1971505,21.1307345,5,False,False,0
CAM-0623,qqq__chs_safe__q10__none,2.0,-0.4256329628664125,0.7344232741548228,2250,2250,0,1.0,25,250,112,138,3,9,-0.035469413572201035,-0.06406419187267019,-0.035469413572201035,0.7280731114835785,-0.5046218955931158,50.78461794201724,50.72289638819607,21.1971505,21.1307345,5,False,False,0
CAM-0623,qqq__chs_safe__q10__none,5.0,-0.5756329628664127,0.8691081654906209,2250,2250,0,1.0,25,250,111,139,2,10,-0.047969413572201046,-0.0766641918726702,-0.047969413572201046,0.7842499090746105,-0.6491102311298287,50.78461794201724,50.72289638819607,21.1971505,21.1307345,5,False,False,0
CAM-0624,sp500__chs_safe_q20__target15__vol126,0.0,-2.3696555328717714,2.3792564302083496,23373,23343,30,0.9987164677191631,245,250,27,223,0,12,-0.1974712944059809,-0.17743151294213727,-0.1974712944059809,0.7579375108491885,-2.385144121775368,133.7798510935954,133.42981844137248,235.59707699999998,236.296554,30,False,False,0
CAM-0624,sp500__chs_safe_q20__target15__vol126,1.0,-2.409020989886405,2.4190648022201757,23373,23343,30,0.9987164677191631,245,250,26,224,0,12,-0.2007517491572004,-0.18041802316070507,-0.2007517491572004,0.7706559062318245,-2.424305405616656,133.7798510935954,133.42981844137248,235.59707699999998,236.296554,30,False,False,0
CAM-0624,sp500__chs_safe_q20__target15__vol126,2.0,-2.448386446901039,2.4588825445431963,23373,23343,30,0.9987164677191631,245,250,26,224,0,12,-0.2040322039084199,-0.1834045333792729,-0.2040322039084199,0.7835713796197343,-2.4634666894579453,133.7798510935954,133.42981844137248,235.59707699999998,236.296554,30,False,False,0
CAM-0624,sp500__chs_safe_q20__target15__vol126,5.0,-2.5664828179449417,2.578392026475596,23373,23343,30,0.9987164677191631,245,250,21,229,0,12,-0.2138735681620784,-0.19236406403497638,-0.2138735681620784,0.8087906792602161,-2.5809505409818128,133.7798510935954,133.42981844137248,235.59707699999998,236.296554,30,False,False,0
