variant,K,M,breadth,execution,state,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K3_M1_decile_source_cc_high_noise,3,1,decile,source_cc,high_noise,-0.04855876012255525,-0.44508487738364094,-0.22254243869182047,0.07050079109032967,479,True,1091,277,-0.002697708895697513,11,-0.0018944704874360814,10,-0.0022320336486549635,8
K3_M1_decile_actionable_oc_high_noise,3,1,decile,actionable_oc,high_noise,-0.05004700673267071,-0.45872600121604706,-0.22936300060802353,0.0729050134707035,479,True,1091,277,-0.0027803892629261508,11,-0.001973031025956491,10,-0.0021629757460931175,8
K2_M4_decile_actionable_oc_high_market_vol,2,4,decile,actionable_oc,high_market_vol,-0.029849299645111835,-0.33313950496776606,-0.16656975248388303,0.10506163817643396,308,True,896,112,-0.0016582944247284352,6,-0.0019899533096741214,6,-0.0039871513081179855,5
K4_M3_decile_actionable_oc_high_market_vol,4,3,decile,actionable_oc,high_market_vol,-0.030405409541058213,-0.38782410128900774,-0.19391205064450387,0.07459432463353816,441,True,784,112,-0.0016891894189476784,7,-0.002027027302737214,7,0.0005304765738663123,5
K2_M6_quintile_actionable_oc_high_market_vol,2,6,quintile,actionable_oc,high_market_vol,-0.030510414348383322,-0.4540240230414186,-0.2270120115207093,0.052341173999496,295,True,672,112,-0.0016950230193546302,6,-0.002034027623225556,6,-0.001513444208782927,4
K3_M4_decile_actionable_oc_high_market_vol,3,4,decile,actionable_oc,high_market_vol,-0.030657695586757627,-0.3910420355453779,-0.19552101777268896,0.07807152624132085,188,True,784,112,-0.001703205310375425,7,-0.0020438463724505103,7,-0.0019496613309848948,5
K4_M2_quintile_actionable_oc_high_noise,4,2,quintile,actionable_oc,high_noise,-0.023994394711176748,-0.2790045896648461,-0.13950229483242305,0.06276283438677009,471,True,860,270,-0.0013330219283987086,9,-0.002060475722559912,9,-0.0003721975287515897,7
K4_M2_quintile_actionable_oc_high_market_vol,4,2,quintile,actionable_oc,high_market_vol,-0.031161752875280252,-0.34778742048303857,-0.17389371024151928,0.045145567529261264,441,True,896,112,-0.0017312084930711247,5,-0.00207745019168535,5,-0.001985179184532419,4
K4_M1_quintile_actionable_oc_all,4,1,quintile,actionable_oc,all,-0.049867370881067935,-0.15097599419033586,-0.07548799709516793,0.08280882508235325,519,True,3303,367,-0.0027704094933926632,11,-0.002128069460699734,10,-0.0028201094317566364,9
K4_M6_quintile_source_cc_high_noise,4,6,quintile,source_cc,high_noise,-0.021059218938790203,-0.5148953285767781,-0.25744766428838906,0.10765475267455818,456,True,409,200,-0.0011699566077105672,10,-0.0021621102860420022,10,0.0017169945523582651,8
K4_M1_decile_source_cc_high_market_vol,4,1,decile,source_cc,high_market_vol,-0.032531925324670107,-0.32273735441140966,-0.16136867720570483,0.05233805256905131,441,True,1008,112,-0.0018073291847038949,5,-0.0021687950216446737,5,-0.002210052263113316,4
K6_M6_quintile_source_cc_high_noise,6,6,quintile,source_cc,high_noise,-0.03270184651775723,-1.59521202525645,-0.797606012628225,0.05655218048308819,458,True,205,153,-0.0018167692509865122,10,-0.002217442305958368,10,-0.0013414376501264345,7
K6_M6_quintile_actionable_oc_high_noise,6,6,quintile,actionable_oc,high_noise,-0.03298825946761322,-1.609183388664059,-0.8045916943320295,0.05660501163038613,458,True,205,153,-0.0018326810815340669,10,-0.0022230779195815055,10,-0.0013423278106333874,7
K2_M4_quintile_source_cc_high_market_vol,2,4,quintile,source_cc,high_market_vol,-0.03438607515752206,-0.3837731602402015,-0.19188658012010076,0.0625549463838007,390,True,896,112,-0.0019103375087512256,6,-0.0022924050105014708,6,-0.002239518557247605,5
K4_M6_quintile_actionable_oc_high_noise,4,6,quintile,actionable_oc,high_noise,-0.023900105728965643,-0.5843546632998935,-0.29217733164994675,0.1090529935424845,456,True,409,200,-0.0013277836516092012,10,-0.0022948886552380276,10,0.0016225852828135382,8
K3_M2_quintile_source_cc_high_market_vol,3,2,quintile,source_cc,high_market_vol,-0.036565822680187196,-0.3627561773828095,-0.18137808869140476,0.0544440144778984,359,True,1008,112,-0.002031434593343734,6,-0.0024377215120124805,6,-0.004189189429887008,5
K1_M1_quintile_actionable_oc_all,1,1,quintile,actionable_oc,all,-0.1042384697136563,-0.23669043985843846,-0.11834521992921923,0.17116956746833972,541,True,4404,367,-0.00579102609520313,12,-0.002473735713940127,10,-0.004628867293276633,8
